dataset,epsilon,scale,sample,true_count,noise,noisy_count
D_neighbor,0.5,2,41,4,0.774944,4.77494
D_neighbor,0.5,2,42,4,-3.97579,0.0242121
D_neighbor,0.5,2,43,4,10.1022,14.1022
D_neighbor,0.5,2,44,4,-3.70358,0.296422
D_neighbor,0.5,2,45,4,0.0929789,4.09298
D_neighbor,0.5,2,46,4,-3.6045,0.395496
D_neighbor,0.5,2,47,4,0.0383131,4.03831
D_neighbor,0.5,2,48,4,1.04842,5.04842
D_neighbor,0.5,2,49,4,5.44756,9.44756
D_neighbor,0.5,2,50,4,0.352495,4.35249
D,1,1,1,3,-3.49149,-0.49149
D,1,1,2,3,0.239527,3.23953
D,1,1,3,3,0.366125,3.36613
D,1,1,4,3,0.703181,3.70318
D,1,1,5,3,-5.18395,-2.18395
D,1,1,6,3,-3.7988,-0.798799
D,1,1,7,3,-3.02698,-0.0269779
D,1,1,8,3,2.27909,5.27909
D,1,1,9,3,3.36063,6.36063
D,1,1,10,3,0.626914,3.62691
D,1,1,11,3,-0.708262,2.29174
D,1,1,12,3,0.0847477,3.08475
D,1,1,13,3,2.78593,5.78593
D,1,1,14,3,-0.201326,2.79867
D,1,1,15,3,-0.546786,2.45321
D,1,1,16,3,0.426128,3.42613
D,1,1,17,3,0.350598,3.3506
D,1,1,18,3,0.8581,3.8581
D,1,1,19,3,-0.019941,2.98006
D,1,1,20,3,-1.10502,1.89498
D,1,1,21,3,0.129917,3.12992
D,1,1,22,3,-1.19903,1.80097
D,1,1,23,3,-0.758885,2.24112
D,1,1,24,3,0.122653,3.12265
D,1,1,25,3,-0.779922,2.22008
D,1,1,26,3,0.720752,3.72075
D,1,1,27,3,0.328999,3.329
D,1,1,28,3,0.64897,3.64897
D,1,1,29,3,-0.0816538,2.91835
D,1,1,30,3,0.241728,3.24173
D,1,1,31,3,-0.447842,2.55216
D,1,1,32,3,-0.0491415,2.95086
D,1,1,33,3,-0.849263,2.15074
D,1,1,34,3,2.9112,5.9112
D,1,1,35,3,-0.782989,2.21701
D,1,1,36,3,-0.836243,2.16376
D,1,1,37,3,3.44162,6.44162
D,1,1,38,3,-0.682207,2.31779
D,1,1,39,3,-1.10576,1.89424
D,1,1,40,3,2.70716,5.70716
D,1,1,41,3,3.54953,6.54953
D,1,1,42,3,-0.194243,2.80576
D,1,1,43,3,0.0146365,3.01464
D,1,1,44,3,2.40341,5.40341
D,1,1,45,3,1.02472,4.02472
D,1,1,46,3,0.899771,3.89977
D,1,1,47,3,0.296465,3.29646
D,1,1,48,3,-0.0652458,2.93475
D,1,1,49,3,0.185571,3.18557
D,1,1,50,3,-1.44048,1.55952
D_neighbor,1,1,1,4,0.312032,4.31203
D_neighbor,1,1,2,4,-1.23374,2.76626
D_neighbor,1,1,3,4,-0.619339,3.38066
D_neighbor,1,1,4,4,1.33268,5.33268
D_neighbor,1,1,5,4,0.521939,4.52194
D_neighbor,1,1,6,4,-0.0032633,3.99674
D_neighbor,1,1,7,4,0.287474,4.28747
D_neighbor,1,1,8,4,-0.375439,3.62456
D_neighbor,1,1,9,4,-0.746215,3.25379
D_neighbor,1,1,10,4,-1.76355,2.23645
D_neighbor,1,1,11,4,2.31991,6.31991
D_neighbor,1,1,12,4,0.120095,4.12009
D_neighbor,1,1,13,4,0.131797,4.1318
D_neighbor,1,1,14,4,-1.11034,2.88966
D_neighbor,1,1,15,4,0.0605499,4.06055
D_neighbor,1,1,16,4,0.868737,4.86874
D_neighbor,1,1,17,4,-0.270781,3.72922
D_neighbor,1,1,18,4,0.0271045,4.0271
D_neighbor,1,1,19,4,-2.45319,1.54681
D_neighbor,1,1,20,4,0.0984313,4.09843
D_neighbor,1,1,21,4,-0.040807,3.95919
D_neighbor,1,1,22,4,-2.85978,1.14022
D_neighbor,1,1,23,4,2.49133,6.49133
D_neighbor,1,1,24,4,3.67082,7.67082
D_neighbor,1,1,25,4,3.40736,7.40736
D_neighbor,1,1,26,4,0.817134,4.81713
D_neighbor,1,1,27,4,0.839055,4.83906
D_neighbor,1,1,28,4,0.252868,4.25287
D_neighbor,1,1,29,4,-0.702912,3.29709
D_neighbor,1,1,30,4,-0.304826,3.69517
D_neighbor,1,1,31,4,0.616638,4.61664
D_neighbor,1,1,32,4,1.44047,5.44047
D_neighbor,1,1,33,4,0.0288665,4.02887
D_neighbor,1,1,34,4,6.53221,10.5322
D_neighbor,1,1,35,4,0.691974,4.69197
D_neighbor,1,1,36,4,-0.832213,3.16779
D_neighbor,1,1,37,4,-0.00472491,3.99528
D_neighbor,1,1,38,4,-0.288673,3.71133
D_neighbor,1,1,39,4,0.130192,4.13019
D_neighbor,1,1,40,4,0.63383,4.63383
D_neighbor,1,1,41,4,-0.08263,3.91737
D_neighbor,1,1,42,4,0.0240785,4.02408
D_neighbor,1,1,43,4,-0.540241,3.45976
D_neighbor,1,1,44,4,-3.11965,0.880355
D_neighbor,1,1,45,4,0.435778,4.43578
D_neighbor,1,1,46,4,1.02544,5.02544
D_neighbor,1,1,47,4,0.980008,4.98001
D_neighbor,1,1,48,4,-2.15397,1.84603
D_neighbor,1,1,49,4,-0.403315,3.59668
D_neighbor,1,1,50,4,1.24033,5.24033
D,2,0.5,1,3,0.117712,3.11771
D,2,0.5,2,3,0.494586,3.49459
D,2,0.5,3,3,0.730492,3.73049
D,2,0.5,4,3,0.0678894,3.06789
D,2,0.5,5,3,0.461482,3.46148
D,2,0.5,6,3,0.663756,3.66376
D,2,0.5,7,3,-0.188972,2.81103
D,2,0.5,8,3,0.0934911,3.09349
D,2,0.5,9,3,-0.0213007,2.9787
D,2,0.5,10,3,0.0994755,3.09948
D,2,0.5,11,3,1.19186,4.19186
D,2,0.5,12,3,-0.435495,2.56451
D,2,0.5,13,3,-0.0290301,2.97097
D,2,0.5,14,3,-0.0329378,2.96706
D,2,0.5,15,3,-0.437237,2.56276
D,2,0.5,16,3,-0.407086,2.59291
D,2,0.5,17,3,0.232076,3.23208
D,2,0.5,18,3,0.265827,3.26583
D,2,0.5,19,3,0.10676,3.10676
D,2,0.5,20,3,-0.353212,2.64679
D,2,0.5,21,3,-0.0628881,2.93711
D,2,0.5,22,3,-1.09038,1.90962
D,2,0.5,23,3,0.364073,3.36407
D,2,0.5,24,3,0.312202,3.3122
D,2,0.5,25,3,-0.925348,2.07465
D,2,0.5,26,3,-0.0693809,2.93062
D,2,0.5,27,3,0.0559023,3.0559
D,2,0.5,28,3,0.761217,3.76122
D,2,0.5,29,3,-0.00681748,2.99318
D,2,0.5,30,3,0.74335,3.74335
D,2,0.5,31,3,0.33916,3.33916
D,2,0.5,32,3,-0.814255,2.18575
D,2,0.5,33,3,0.257081,3.25708
D,2,0.5,34,3,0.150906,3.15091
D,2,0.5,35,3,0.19518,3.19518
D,2,0.5,36,3,0.00233463,3.00233
D,2,0.5,37,3,-0.00231179,2.99769
D,2,0.5,38,3,-2.38651,0.613486
D,2,0.5,39,3,-0.870914,2.12909
D,2,0.5,40,3,1.5361,4.5361
D,2,0.5,41,3,0.10466,3.10466
D,2,0.5,42,3,-1.2445,1.7555
D,2,0.5,43,3,-0.494138,2.50586
D,2,0.5,44,3,-1.01075,1.98925
D,2,0.5,45,3,0.00971417,3.00971
D,2,0.5,46,3,-0.118305,2.8817
D,2,0.5,47,3,-0.276289,2.72371
D,2,0.5,48,3,-0.47007,2.52993
D,2,0.5,49,3,-0.800568,2.19943
D,2,0.5,50,3,0.729922,3.72992
D_neighbor,2,0.5,1,4,-0.061661,3.93834
D_neighbor,2,0.5,2,4,0.0435854,4.04359
D_neighbor,2,0.5,3,4,1.06298,5.06298
D_neighbor,2,0.5,4,4,-0.456678,3.54332
D_neighbor,2,0.5,5,4,-0.300832,3.69917
D_neighbor,2,0.5,6,4,-1.63759,2.36241
D_neighbor,2,0.5,7,4,0.15846,4.15846
D_neighbor,2,0.5,8,4,0.530197,4.5302
D_neighbor,2,0.5,9,4,0.856373,4.85637
D_neighbor,2,0.5,10,4,-0.677265,3.32273
D_neighbor,2,0.5,11,4,0.278926,4.27893
D_neighbor,2,0.5,12,4,0.187101,4.1871
D_neighbor,2,0.5,13,4,-0.394509,3.60549
D_neighbor,2,0.5,14,4,-0.0934293,3.90657
D_neighbor,2,0.5,15,4,-0.27871,3.72129
D_neighbor,2,0.5,16,4,0.751361,4.75136
D_neighbor,2,0.5,17,4,0.898545,4.89854
D_neighbor,2,0.5,18,4,0.419748,4.41975
D_neighbor,2,0.5,19,4,0.770729,4.77073
D_neighbor,2,0.5,20,4,-2.3325,1.6675
D_neighbor,2,0.5,21,4,0.368813,4.36881
D_neighbor,2,0.5,22,4,-0.0127636,3.98724
D_neighbor,2,0.5,23,4,-1.19074,2.80926
D_neighbor,2,0.5,24,4,1.12202,5.12202
D_neighbor,2,0.5,25,4,0.0567264,4.05673
D_neighbor,2,0.5,26,4,0.0591968,4.0592
D_neighbor,2,0.5,27,4,-0.190433,3.80957
D_neighbor,2,0.5,28,4,0.573982,4.57398
D_neighbor,2,0.5,29,4,0.348806,4.34881
D_neighbor,2,0.5,30,4,-0.0611196,3.93888
D_neighbor,2,0.5,31,4,0.299323,4.29932
D_neighbor,2,0.5,32,4,-0.475692,3.52431
D_neighbor,2,0.5,33,4,1.72756,5.72756
D_neighbor,2,0.5,34,4,0.201081,4.20108
D_neighbor,2,0.5,35,4,-0.119521,3.88048
D_neighbor,2,0.5,36,4,-0.330519,3.66948
D_neighbor,2,0.5,37,4,0.230176,4.23018
D_neighbor,2,0.5,38,4,-1.41517,2.58483
D_neighbor,2,0.5,39,4,-0.88599,3.11401
D_neighbor,2,0.5,40,4,0.104478,4.10448
D_neighbor,2,0.5,41,4,-0.574331,3.42567
D_neighbor,2,0.5,42,4,0.455103,4.4551
D_neighbor,2,0.5,43,4,-0.345844,3.65416
D_neighbor,2,0.5,44,4,-0.129806,3.87019
D_neighbor,2,0.5,45,4,-0.425345,3.57465
D_neighbor,2,0.5,46,4,0.0381244,4.03812
D_neighbor,2,0.5,47,4,-0.299985,3.70001
D_neighbor,2,0.5,48,4,-0.670968,3.32903
D_neighbor,2,0.5,49,4,-0.221984,3.77802
D_neighbor,2,0.5,50,4,-0.547172,3.45283
